Date,Open,High,Low,Close,Volume
2020-01-01,60104.090846813815,60194.620785297135,60142.58511239992,60238.25299786262,4611932
2020-01-02,60108.94401342047,60187.17295248175,60101.41448253761,60108.20747378298,2130969
2020-01-03,60301.38556715001,60315.94592435855,60263.45914305341,60290.598864192485,2234441
2020-01-06,60813.04525219621,60759.20696597069,60692.27885390911,60712.31086983201,1752876
2020-01-07,60712.239373131626,60730.42006875697,60684.345398798556,60835.28735660402,4985003
2020-01-08,60617.012026465614,60665.047208613134,60488.37814236727,60564.596972791725,3193374
2020-01-09,61132.915534015105,61143.41938496959,61076.33078693762,61070.584822774785,3460841
2020-01-10,61391.76801525183,61327.99732674991,61298.00778238048,61343.04947961526,3092859
2020-01-13,61209.30583733808,61213.42495034355,61068.605606883284,61211.4259703077,2418715
2020-01-14,61344.700966088436,61446.09089764654,61325.79716867414,61392.07993785705,991513
2020-01-15,61139.56621563502,61254.47348504026,61181.610941073755,61295.538452641,2677890
2020-01-16,61012.183418027686,61120.673069297736,60998.21776544175,61090.74698395449,4824917
2020-01-17,61122.76654743353,61143.89564660632,61105.65392896658,61085.22624265293,4767905
2020-01-20,60533.56809914596,60662.77584941817,60481.487870739635,60551.196452997836,3675601
2020-01-21,60037.21979435074,60075.25175521718,60034.51055245124,60061.95997812571,2240584
2020-01-22,59880.714596972575,59938.15825443987,59830.874918706686,59981.293402803014,3717196
2020-01-23,59600.517402345235,59672.26866253616,59467.07056947025,59504.14249070618,4366217
2020-01-24,59664.782025503024,59717.16019348371,59606.18168668699,59728.435789667245,637405
2020-01-27,59420.224823940924,59426.91282322861,59342.64047594781,59404.89546022694,621173
2020-01-28,58975.432352089534,59005.77313906698,58968.00261172597,59014.1001581105,546638
2020-01-29,59313.1299337078,59432.663550185345,59384.72142164585,59406.8035261937,1662496
2020-01-30,59297.203602188594,59376.59330754826,59256.7050288301,59302.04874037322,3007413
2020-01-31,59357.224455499825,59378.23929188009,59271.13441546233,59401.97247225598,4341829
2020-02-03,58876.51964027982,58958.79598456287,58912.543624516686,58969.72592877715,4651538
2020-02-04,58803.68599656413,58892.686576284665,58719.60974765138,58822.292408351306,2605039
2020-02-05,58883.50387859446,58881.97435763372,58780.42561866645,58806.301105208346,2564798
2020-02-06,58522.606356335455,58475.01275513914,58375.552711455035,58431.677162584594,3350418
2020-02-07,58563.70552570778,58640.26940990801,58532.58946918381,58496.4383195031,3619810
2020-02-10,58468.72236912115,58466.46273552557,58226.864756555784,58435.15472568562,1321929
2020-02-11,58314.111310200766,58334.532830836935,58277.822485188946,58327.87241146286,4272217
2020-02-12,58109.31165511594,58252.81739815316,58062.22279243063,58077.876822028644,2527842
2020-02-13,58651.17927584748,58697.11262170199,58644.21531581803,58654.92072535969,1234459
2020-02-14,58662.676757278736,58737.13461660648,58647.827204256406,58654.46230100557,2887842
2020-02-17,58341.07812198931,58406.133185117884,58340.88743178516,58286.33774131725,2806648
2020-02-18,58615.7712476661,58683.5247491613,58517.71828501194,58566.366316717074,3289850
2020-02-19,58249.026040608514,58295.93067512496,58204.92673904231,58184.30582371571,1976075
2020-02-20,58303.80872106512,58329.59198695875,58245.256693355026,58283.032469463054,3203934
2020-02-21,57737.602291380834,57814.145074236025,57562.868611556885,57678.82050797704,4117114
2020-02-24,57376.83188196331,57318.39285160047,57277.36406363918,57235.949322180655,808710
2020-02-25,57423.83564575679,57439.517341149796,57335.71255780595,57477.4874505132,4403869
2020-02-26,57523.653014560856,57661.440845593635,57555.10094566615,57660.52494953482,4776295
2020-02-27,57521.612340595246,57755.658271995264,57642.80230287739,57610.357426264345,2951976
2020-02-28,57661.329908185835,57650.369358820804,57597.84877808235,57628.23498245655,3697860
2020-03-02,57455.938869026315,57596.42344494077,57446.10443965999,57545.15605843815,2852221
2020-03-03,57069.48793674222,57126.7746256065,57067.677074954765,57140.28049957552,3280596
2020-03-04,56806.26729301547,56924.589710213106,56813.55872259485,56823.84269298544,4540015
2020-03-05,56636.4822911515,56803.016686058174,56594.2504650696,56781.186652229626,3737355
2020-03-06,57070.79111730642,57106.035305954734,57040.26639768977,57016.322715685834,622772
2020-03-09,57184.76122578185,57158.832221552264,57092.984690448895,57080.01034755829,4577411
2020-03-10,56589.06590112156,56656.61900655683,56575.31556563676,56654.09824912362,1477469
2020-03-11,56585.564497369094,56797.40823437008,56689.69851803422,56779.65453318246,1807589
2020-03-12,56572.279705438814,56662.2468168108,56577.81422847142,56728.98737652798,4496228
2020-03-13,56416.10552802978,56438.32130303739,56264.239877312924,56336.52906450514,1965741
2020-03-16,56506.07263597321,56646.40257470761,56438.94895667967,56614.964198665955,1206412
2020-03-17,56898.48606714966,56921.742511607634,56798.97295889612,56868.828008971024,3301329
2020-03-18,57167.936614436905,57264.401753347775,57140.89843476534,57207.87004242176,791799
2020-03-19,56945.90142490882,56976.30904481543,56839.77796809686,56843.4123723672,688874
2020-03-20,56830.152155594114,56910.449769207204,56799.84382420716,56761.03464838848,2808436
2020-03-23,56874.898719550394,56962.21316223204,56917.48332763546,56884.75842543614,973818
2020-03-24,57276.0442798144,57260.0098700864,57191.31887833175,57220.16390701458,4629014
2020-03-25,57064.536954726245,57121.23746066766,57059.05301564401,57040.40937005067,3535865
2020-03-26,57015.40051340295,57057.50760007438,56981.32887112703,57049.71845757412,4383424
2020-03-27,56638.201850222984,56703.09620660999,56583.55384921921,56736.20997908954,4937022
2020-03-30,56303.83914839286,56363.72219088593,56286.23603659343,56355.982138014704,1217167
2020-03-31,56525.520871969355,56640.35983555603,56496.285122747,56650.70038965374,3144526
2020-04-01,56967.98571324578,57114.01681465903,56881.25361655207,56997.42434771472,3731365
2020-04-02,57040.615403774966,56979.50548307882,56840.18696032366,56894.185144250834,4328295
2020-04-03,57187.49479198889,57365.6260431308,57035.445877719605,57324.25867481237,2224833
2020-04-06,57283.9025867559,57371.254750610635,57285.93607432297,57334.32284486944,1087371
2020-04-07,57244.60324664289,57189.48610539397,57154.04298934769,57216.56565525249,3740756
2020-04-08,57268.99722806314,57327.00340620141,57133.716502697505,57358.15012274849,2413514
2020-04-09,57707.42074492753,57762.01756682481,57702.15394091398,57763.70878239704,1162643
2020-04-10,57782.121804497336,57753.18791517183,57691.752549255856,57655.3186294693,4264040
2020-04-13,58169.238889884895,58250.75061617192,58064.878461233995,58153.60905854625,4160880
2020-04-14,57504.896621322165,57437.050197680706,57359.373087743515,57479.73335898908,707627
2020-04-15,57694.06318052435,57682.29780396018,57541.92407429968,57651.710752675244,4146277
2020-04-16,57661.88543702155,57719.12973871543,57653.29254557966,57690.259684175944,2092210
2020-04-17,57704.444212952345,57704.068850913565,57458.29465830387,57634.52002309725,3418634
2020-04-20,57593.82128909956,57677.08224284882,57571.530073434216,57658.92317835374,4384485
2020-04-21,57064.941129469924,57070.70917645041,56883.28054763151,57041.77635148873,2491226
2020-04-22,56976.899423538525,57033.10261351855,56959.94276383538,56951.50137595718,1930360
2020-04-23,57134.155630441666,57086.15419912892,56923.621738581794,57053.43514368511,1329119
2020-04-24,57590.51233923052,57515.188289528116,57490.01593307661,57555.331720658745,2397871
2020-04-27,57358.555921365376,57366.37048882021,57241.919243005774,57384.63419046548,4685011
2020-04-28,57076.73673952682,57137.777830703926,57089.16228064363,57101.54263301324,2990959
2020-04-29,56986.879127115724,57064.07619469695,56903.435967621226,57017.98613561843,1554853
2020-04-30,57204.61538679178,57314.22482621649,57236.316911053655,57232.0494495229,3886243
2020-05-01,57437.79585055362,57428.981831717494,57335.86530713418,57294.54337946058,2269819
2020-05-04,57185.02519360132,57221.74332636861,57145.11430283815,57140.24989210202,786885
2020-05-05,57313.91257941559,57425.20398934867,57236.498571551536,57283.24161516571,3945083
2020-05-06,57370.53593707885,57388.37851823385,57319.822212616295,57347.68142095542,2035410
2020-05-07,57584.53910446898,57728.26404870849,57462.588004733276,57713.581632862275,849760
2020-05-08,57392.69878885674,57582.13842198132,57397.1875721168,57401.024731730744,2239549
2020-05-11,57403.00154220016,57414.64051503043,57308.80167783133,57352.40463485384,1736664
2020-05-12,57192.503686914715,57242.80000255821,57181.0155230383,57192.51393358192,4913905
2020-05-13,56733.94836728956,56859.450109609585,56784.70975673627,56773.27846436008,3330434
2020-05-14,56901.96263716939,56885.2721478598,56776.740585773085,56799.62793894376,796177
2020-05-15,57012.73178893014,56955.11979422694,56884.497062389804,56942.41966973917,3906433
2020-05-18,56990.928283722984,56979.57961468969,56941.07301752141,56945.29534919948,4100937
2020-05-19,56934.40686246748,56994.04341329543,56879.06976424667,56911.61887537897,512938
2020-05-20,56422.15350113359,56517.283262178,56419.45456788756,56471.157301224834,1679418
2020-05-21,56262.70912539536,56441.06539945992,56300.141293466615,56273.88005248485,1494199
2020-05-22,56306.0519863722,56265.97579243625,56182.253543973275,56285.1952159766,2419398
2020-05-25,55974.16813106583,56088.253555244075,55954.063642907095,56000.81727501904,4114962
2020-05-26,55929.374758685386,55967.65186001753,55935.7500224261,55951.83608536701,3745100
2020-05-27,56129.54137364495,56210.13352208811,55911.23610538686,56062.67254888324,3922578
2020-05-28,56656.79893738568,56672.772998093824,56529.32965233378,56603.09956455454,1685622
2020-05-29,56704.15516936929,56743.326984574436,56551.73178955498,56692.250897752645,4692907
2020-06-01,56866.87601522709,56800.09081487768,56703.77462144613,56782.40531977846,1045501
2020-06-02,56704.11621173318,56744.940461969076,56688.787108961595,56648.947338684906,4386101
2020-06-03,56207.05276506654,56297.451779024996,56138.38413172049,56133.72271679517,4442571
2020-06-04,56155.55725227256,56188.108865326045,56098.025649558534,56139.95924750753,2512236
2020-06-05,56184.20527295318,56244.89919010398,56152.58964915629,56183.58418929473,2011602
2020-06-08,56986.17171407623,57013.46473092798,56797.85062490885,56969.41384305195,2846118
2020-06-09,56877.43179113574,56989.42110665842,56795.891011217995,56813.45296259142,3965495
2020-06-10,56969.419009973826,56942.762903050694,56882.14856018926,56917.60611368046,1578290
2020-06-11,56985.71604197526,57002.89308758836,56832.95478120429,56906.463969577446,1189746
2020-06-12,56563.239627346775,56675.39057791108,56500.906502265214,56541.41088431869,4017155
2020-06-15,56882.37362481147,56976.308004456114,56725.59860201444,56906.97478342281,855439
2020-06-16,57097.6735582834,57183.885426460205,57093.25736050866,57188.45412898385,4706330
2020-06-17,57288.90577262857,57473.384818018196,57320.25437905037,57334.53182732915,2181063
2020-06-18,57217.21772215596,57232.35836516854,57078.22110955656,57135.798085416594,3480858
2020-06-19,57480.085240653694,57574.64731915198,57519.739730533125,57450.15054743886,788988
2020-06-22,57103.6276589228,57176.277344847236,57113.129320241824,57086.62344027998,4586679
2020-06-23,57276.90680324773,57429.84174606114,57242.525480261895,57274.273003231276,2949711
2020-06-24,57963.25449087562,57985.052118832005,57933.55103421704,58031.627139630866,4749012
