Ticker,Ret_12m,Ret_6m,Ret_3m,Ret_1m,Mom_Quality,Vol_126d,RSTR,Target_Next_1m,Close,RS_Rank,XGB_Score,Inst_Score,Momentum_Status
PLTR,3.3262174287465127,0.6742685728160069,0.261100652516721,0.0519059543764262,3.2743114743700863,0.5070037932478999,6.560537560160139,-0.13909019344191298,194.5500030517578,99.8,0.12693983,2.781604420452939,Strong
FISV,-0.6763479146359304,-0.643809414710983,-0.518288616276019,-0.48298830728242037,-0.19335960735351,0.7283082267950887,-0.9286561509983088,-0.03834949717856362,65.19000244140625,0.2,0.08851729,-0.38947212408173537,Weak
MOH,-0.5206218266125276,-0.517314074945687,-0.02597820313575827,-0.21624559694206857,-0.3043762296704591,0.5898310510856409,-0.8826626296704335,-0.040370654249587745,151.10000610351562,0.8,0.084895454,-0.37695263607203205,Weak
KVUE,-0.35429000910284036,-0.3947330248022083,-0.33411100329540355,-0.10157736087015456,-0.2527126482326858,0.3825309023774631,-0.9261735637588934,0.2245027250839009,14.062850952148438,4.3999999999999995,0.07131587,-0.35660265060548285,Weak
TTD,-0.588418222902585,-0.07708254893952349,-0.43111059271566554,-0.007096481676536204,-0.5813217412260488,0.7591215641454956,-0.7751304279768912,-0.19175003380801658,48.970001220703125,0.4,0.0648726,-0.48483365659278965,Weak
FTNT,0.04259527886352643,-0.1920161434797668,-0.1351684837675542,-0.01150508750202539,0.05410036636555182,0.44106130793265486,0.0965745081181101,-0.028266001658895035,84.19999694824219,51.0,0.06195966,-0.009802406441566677,Weak
PAYC,0.11436624299260045,-0.18160373534800023,-0.1804118438805481,-0.06996939094873933,0.18433563394133978,0.31067422913987397,0.36812272234241117,-0.12469583362222947,184.8614501953125,62.8,0.05827986,0.09305172114139013,Weak
DPZ,-0.017154079093602115,-0.154341635103186,-0.1301008151525489,-0.056520954783364497,0.03936687568976238,0.21603022434042338,-0.07940592176847663,0.04923758557572233,403.9599914550781,42.199999999999996,0.05747951,-0.028198875298882327,Weak
ARE,-0.46823982194361424,-0.20574030877378102,-0.24660696579709762,-0.3245866337138249,-0.14365318822978934,0.4071214955304779,-1.1501230642059304,-0.05800958878347695,56.369998931884766,1.6,0.057243384,-0.26701297769293264,Weak
ON,-0.2960963458219611,0.2840909200375843,-0.10506865985159342,0.051706309801397454,-0.34780265562335855,0.5460977955117681,-0.5422038840945668,-0.008259551259555353,50.849998474121094,6.800000000000001,0.054842323,-0.21659066376111427,Weak
CMG,-0.46320132675929626,-0.3535373812285054,-0.23494829658786454,-0.16525538208053603,-0.29794594467876023,0.41442206006890436,-1.1177043197996785,0.05256695245430576,32.529998779296875,1.7999999999999998,0.053602394,-0.3847403046917115,Weak
IT,-0.5173606346887992,-0.4080076494679461,-0.24392771828116577,-0.010358590053847094,-0.5070020446349521,0.494955921040003,-1.0452660786474064,-0.07093395954160242,248.39999389648438,1.0,0.053205203,-0.5147221363674177,Weak
WBD,1.8409987463757087,1.5646500660218639,0.67987576002175,0.11731268284301999,1.7236860635326887,0.6341034960759766,2.903309566606025,0.1040703012331512,21.6200008392334,99.4,0.052449528,1.7054601839867636,Strong
MOS,0.0476870760318473,-0.07886947361279795,-0.21010348456539552,-0.18066234965953099,0.22834942569137828,0.3641186605904855,0.13096575702688218,-0.09924215412699045,27.709999084472656,52.6,0.05220049,0.11332198793841602,Weak
FDS,-0.40850851686286505,-0.37084156208512165,-0.31047990610973053,-0.06169562826120478,-0.34681288860166026,0.2921280527635674,-1.3983885251632773,0.03417057797645029,267.97320556640625,3.2,0.05118434,-0.45314288870532127,Weak
HRL,-0.2829142658540361,-0.2595341325947045,-0.2334481411888708,-0.13082907959358148,-0.15208518626045464,0.2893865661285333,-0.9776344135075625,0.0944104384733615,21.290000915527344,7.3999999999999995,0.046314076,-0.26426619374485705,Weak
DECK,-0.5221808577136116,-0.2721137281665815,-0.21731978148114495,-0.20053371075636794,-0.3216471469572436,0.54659130813361,-0.955340580692089,0.1375942308987368,80.88999938964844,0.6,0.04563908,-0.36467707002498584,Weak
STZ,-0.44124198672573633,-0.29546245650901126,-0.21836838189295538,-0.06519231818532467,-0.37604966854041166,0.26824403452442874,-1.6449274911481875,0.06975473226082962,128.8800048828125,2.4,0.044711865,-0.47105187973016355,Weak
CHTR,-0.29954200029307687,-0.3970757227964874,-0.12758322551278267,-0.16059617213511113,-0.13894582815796575,0.3891540006900026,-0.7697261232364664,-0.14715051098640086,230.9199981689453,6.4,0.04453751,-0.25251357632900184,Weak
CNC,-0.43195458895384975,-0.410536937422848,0.35160172381326626,-0.020145528452420902,-0.41180906050142885,0.7394500625487039,-0.5841565385294684,0.08195313804596216,35.02000045776367,3.0,0.044049565,-0.3524483052570471,Weak
PSKY,0.505614271873082,0.33619841596337796,0.19148718332419135,-0.18157752579817843,0.6871917976712605,0.7336003745757784,0.6892230284989499,0.016170763220125117,15.460000038146973,91.4,0.04399612,0.567625782977746,Strong
VRSN,0.32308071037458985,-0.15293499108897823,-0.10962150028060114,-0.14302338541784398,0.46610409579243384,0.25790058401868066,1.252733535303619,0.0687391255708365,234.87490844726562,82.19999999999999,0.042775504,0.36338666275996645,Weak
APP,2.7345127673054144,1.2205446234290802,0.6367855398340219,-0.11855022590089248,2.853062993206307,0.6148030452925731,4.447786633854605,0.00478558822088937,620.6199951171875,99.6,0.040481478,2.4644039379784632,Strong
HUM,0.10927594869973811,0.12352806473793021,0.1591317498950029,0.15739344493513885,-0.048117496235400736,0.46085924814046864,0.23711349862383818,-0.1518854096456964,285.6099853515625,62.0,0.04032025,0.03545964005822971,Weak
TKO,0.6295625975039905,0.1579159122534335,0.1381415378309392,-0.055242483553004096,0.6848050810569946,0.29956303719730776,2.1016030662331944,0.03301734470415685,187.77999877929688,94.19999999999999,0.040101703,0.6664406914912968,Strong
MCK,0.6292144625866185,0.17058365730440928,0.18276631657520492,0.07901133285944728,0.5502031297271712,0.24010476478551623,2.6205829907152864,0.038954563185081614,824.7617797851562,94.0,0.03927138,0.6445735400262337,Strong
RSG,0.05834682296328131,-0.15400743843819487,-0.08957732001880492,-0.07387552384875462,0.13222234681203593,0.17473756868241652,0.33391115261152554,0.019769479761206243,209.9199981689453,55.2,0.03877974,0.07296530365885465,Weak
AXON,0.6612631767745012,0.18963135393100417,-0.0048351663528058975,0.038715631045094234,0.622547545729407,0.48563776610528864,1.3616387005435984,-0.278353699587223,738.8800048828125,94.8,0.037471723,0.5471351516429243,Weak
WM,-0.023085467115812275,-0.13444017228811178,-0.120398229146912,-0.08777908865046424,0.06469362153465197,0.175953097288691,-0.13120239127098357,0.07658166620462503,200.57000732421875,41.199999999999996,0.037351027,-0.013231923578620736,Weak
REGN,-0.2926590982543127,0.11186578868822372,0.172067092211599,0.09017564032095815,-0.38283473857527084,0.4583947644059464,-0.6384433701671577,0.14832506289259983,653.220947265625,7.199999999999999,0.036582235,-0.2539653132030736,Weak
CRWD,0.7877339027679116,0.24729088308209168,0.2060179739829211,0.07744619946090658,0.710287703307005,0.3808844618143738,2.068170224155319,-0.06413824211541408,538.6799926757812,96.6,0.034988437,0.7030496184144452,Strong
PM,0.15867164266364298,-0.12827200501252445,-0.09714264056842092,-0.08535594131089641,0.24402758397453939,0.2476918030212508,0.6406011047932405,0.07128155722564311,145.75999450683594,68.2,0.03461642,0.17510799580470068,Weak
LYB,-0.4408088008959833,-0.18660489013516668,-0.1336798947919804,-0.06650133534034908,-0.3743074655556342,0.4130432940380681,-1.0672217834272748,0.09067757083186745,43.93598937988281,2.6,0.03433251,-0.3819956251823394,Weak
FIS,-0.2991183678856728,-0.1884633644626833,-0.19913594710932359,-0.06194561140057031,-0.2371727564851025,0.2575106035531554,-1.1615768972555287,0.06106744022866417,62.38999938964844,6.6000000000000005,0.034128338,-0.3160676112200834,Weak
WDAY,-0.00885295534399555,-0.05571552434677429,0.047925451525432594,0.0028422048328586857,-0.011695160176854236,0.33074949050205465,-0.02676634612666336,-0.08382354714203866,232.8699951171875,42.8,0.033733174,-0.01604429043559048,Weak
VZ,0.0005372443362554602,-0.06996551367109616,-0.0757995774775595,-0.0958312801743546,0.09636852451061007,0.1858485679068406,0.0028907639284299572,0.045687952664853926,38.959999084472656,45.0,0.033733174,0.03653713061723384,Weak
STE,0.06513978914303808,0.06804701575455718,0.04379299153263161,-0.021176960404992173,0.08631674954803026,0.22752777564753143,0.28629378965998264,0.11304463326577485,236.19000244140625,56.2,0.03279329,0.09840813099899101,Weak
ED,-0.03054451221429577,-0.11295873069926554,-0.05207228446433898,0.0002038232253156469,-0.03074833543961142,0.17667537092857685,-0.17288494742509275,0.005144919650391877,97.37899017333984,40.6,0.032550678,-0.06353647059256314,Weak
